fly_number,fly_species,fly_sex,cage_number,first_visit,landing_time_1,landing_duration_1,feeding_observed_1,second_visit,landing_time_2,landing_duration_2,feeding_observed_2,third_visit,landing_time_3,landing_duration_3,feeding_observed_3,date,experience,notes
1,M. domestica,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
2,M. domestica,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
3,M. domestica,F,3,yellow,13.57,5.18,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
4,M. domestica,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
5,M. domestica,M,5,pink,3.39,10.47,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
6,M. domestica,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
7,M. domestica,M,7,pink,4.05,7.48,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
8,M. domestica,M,8,white,0.51,2.47,Y,white,5.16,1.52,Y,NA,NA,NA,NA,05/06/24,naive,
9,M. domestica,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
10,M. domestica,M,1,blue,1.06,1.01,Y,blue,11.42,4.52,Y,NA,NA,NA,NA,05/06/24,naive,
11,M. domestica,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
12,M. domestica,M,3,pink,0.15,1.12,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
13,M. domestica,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
14,M. domestica,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
15,M. domestica,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
16,M. domestica,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
17,M. domestica,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
18,M. domestica,M,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
19,M. domestica,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
20,M. domestica,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
21,M. domestica,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
22,M. domestica,M,4,yellow,7.05,12.07,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
23,M. domestica,M,5,yellow,12.1,0.32,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
24,M. domestica,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
25,M. domestica,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
26,M. domestica,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
27,M. domestica,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
28,M. domestica,M,1,white,0.14,1.1,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
29,M. domestica,F,2,blue,6.06,0.2,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
30,M. domestica,F,3,blue,1.46,10.32,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
31,M. domestica,F,4,pink,9.39,10.27,Y,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
32,M. domestica,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
33,M. domestica,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
34,M. domestica,F,7,white,8.31,0.17,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
35,M. domestica,M,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
36,M. domestica,M,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
37,M. domestica,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
38,M. domestica,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
39,M. domestica,F,3,yellow,0.2,0.38,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
40,M. domestica,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
41,M. domestica,M,5,white,6.37,8.35,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
42,M. domestica,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
43,M. domestica,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
44,M. domestica,F,8,blue,3.32,4.23,N,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
45,M. domestica,M,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/06/24,naive,
46,M. domestica,F,1,yellow,0.58,3.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
47,M. domestica,F,2,white,0.56,15.29,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
48,M. domestica,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
49,M. domestica,F,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
50,M. domestica,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
51,M. domestica,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
52,M. domestica,M,7,yellow,0.16,2.19,N,blue,3.18,0.43,N,yellow,4.49,14.18,Y,06/06/24,naive,
53,M. domestica,F,8,white,0.47,1.28,N,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
54,M. domestica,F,9,pink,2.21,0.31,N,white,2.59,0.62,N,pink,3.2,10.35,Y,06/06/24,naive,
55,M. domestica,F,1,yellow,0.04,1.25,N,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
56,M. domestica,F,2,yellow,18.13,0.52,N,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
57,M. domestica,M,3,yellow,0.46,14.26,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
58,M. domestica,F,4,yellow,10.47,1.55,N,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
59,M. domestica,F,5,pink,15.4,3.58,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
60,M. domestica,M,6,pink,1.47,2.48,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
61,M. domestica,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
62,M. domestica,F,8,yellow,5.49,2.52,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
63,M. domestica,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
64,M. domestica,M,1,blue,0.09,7.36,Y,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,experienced,no decision made
65,M. domestica,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,naive,
66,M. domestica,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/06/24,experienced,no decision made
